FECHA,NOMBRE DE EMPRESAS,DEPARTAMENTO,Ciudad,Localidad,SECTOR,Horas/Reinversión,ID_Cliente,Puestos Medidos,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,Puesto 8,Puesto 9,Puesto 10,Puesto 11,Puesto 12,Puesto 13,Puesto 14,Puesto 15,Puesto 16,Puesto 17,Puesto 18,Puesto 19,Puesto 20,Puesto 21,Puesto 22,Puesto 23,Puesto 24,Puesto 25,Puesto 26,Puesto 27,Puesto 28,Puesto 29,Puesto 30,Puesto 31,Puesto 32,Puesto 33,Puesto 34,Puesto 35,Puesto 36,Puesto 37,Puesto 38,Puesto 39,Puesto 40,Puesto 41,Puesto 42,Puesto 43,Puesto 44,Puesto 45,Puesto 46,Puesto 47,Puesto 48,Puesto 49,Puesto 50,Puesto 51,Puesto 52,Puesto 53,Puesto 54,Puesto 55,Puesto 56,Puesto 57,Puesto 58,Puesto 59,Puesto 60,Puesto 61,Puesto 62,Puesto 63,Puesto 64,Puesto 65,Puesto 66,Puesto 67,Puesto 68,Puesto 69,Puesto 70,Puesto 71,Puesto 72,Puesto 73,Puesto 74,Puesto 75,Puesto 76,Puesto 77,Puesto 78,Puesto 79,Puesto 80,Puesto 81,Puesto 82,Puesto 83,Puesto 84,Puesto 85,Puesto 86,Puesto 87,Puesto 88,Puesto 89,Puesto 90,Puesto 91,Puesto 92,Puesto 93,Puesto 94,Puesto 95,Puesto 96,Puesto 97,Puesto 98,Puesto 99,Puesto 100,Puesto 101,Puesto 102,Puesto 103,Puesto 104,Puesto 105,Puesto 106,Puesto 107,Puesto 108,Puesto 109,Puesto 110,Puesto 111,Puesto 112,Puesto 113,Puesto 114,Puesto 115,Puesto 116,Puesto 117,Puesto 118,Puesto 119,Puesto 120,Puesto 121,Puesto 122,Puesto 123,Puesto 124,Puesto 125,Puesto 126,Puesto 127,Puesto 128,Puesto 129,Puesto 130,Puesto 131,Puesto 132,Puesto 133,Puesto 134,Puesto 135,Puesto 136,Puesto 137,Puesto 138,Puesto 139,Puesto 140,Puesto 141,Puesto 142,Puesto 143,Puesto 144,Puesto 145,Puesto 146,Puesto 147,Puesto 148,Puesto 149,Puesto 150,Puesto 151,Puesto 152,Puesto 153,Puesto 154,Puesto 155,Puesto 156,Puesto 157,Puesto 158,Puesto 159,Puesto 160,Puesto 161,Puesto 162,Puesto 163,Puesto 164,Puesto 165,Puesto 166,Puesto 167,Puesto 168,Puesto 169,Puesto 170,Puesto 171,Puesto 172,Puesto 173,Puesto 174,Puesto 175,Puesto 176,Puesto 177,Puesto 178,Puesto 179,Puesto 180,Puesto 181,Puesto 182,Puesto 183,Puesto 184,Puesto 185,Puesto 186,Puesto 187
7/26/2023,ALIANZA CONTADORES S A S,Antioquia,Medellín,Medellín,Agricultura,12,Cliente 11,15,,,,,,186,,,,,,,,,,,,709,,,,,,,,,,,,529,,,,,,,,,,,,,323,,,,,,,,,,,,,70,,,,,,,,,,,,187,,,,,,,,,,,,341,,,,,,,,,,,,404,,,,,,,,,,,,297,,,,,,,,,,,,501,,,,,,,,,,,,588,,,,,,,,,,,,350,,,,,,,,,,,,465,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,550,,,,,,
1/13/2023,ALIMENTOS NUTRIÓN S.A.S,"Bogotá, Distrito Capital",Bogotá,Santa Fe,Silvicultura,6,Cliente 12,9,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,1055,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,,,,,,,,,,1507,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,,,
5/20/2023,ALL CARGO INTERNATIONAL S.A.S,Antioquia,Medellín,Medellín,Transporte y logística,5,Cliente 13,8,,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,1057,,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,463,,,,,
8/5/2023,ALUACE S.A.S,"Bogotá, Distrito Capital",Bogotá,Fontibón,"Cultura, ocio y entretenimiento",10,Cliente 14,13,,,129,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,345,,,,,,,,,,,,,,283,,,,,,,,,,,,,,323,,,,,,,,,,,,,,312,,,,,,,,,,,,,,,714,,,,,,,,,,,,,,80,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,800,,,,,,,,,,,,
1/5/2023,ALUCRISTAL HERNANDEZ LEIVA LTDA,Cundinamarca,Bogotá,Tunjuelito,Educación y salud,11,Cliente 15,14,,,,,,,,,597,,,,,,,,,,,,,554,,,,,,,,,,,,,,511,,,,,,,,,,,,,533,,,,,,,,,,,,,185,,,,,,,,,,,,,,556,,,,,,,,,,,,,345,,,,,,,,,,,,,,310,,,,,,,,,,,,,508,,,,,,,,,,,,,159,,,,,,,,,,,,,189,,,,,,,,,,,,,169,,,,,,,,,,,,,1556,,,,,,,,,,,,,,,500,,,,
4/23/2023,ALVARO ANDRES VASQUEZ VIVAS,"Bogotá, Distrito Capital",Bogotá,Usaquén,Transporte y logística,12,Cliente 16,15,,,,,,,,,420,,,,,,,,,,,,594,,,,,,,,,,,,171,,,,,,,,,,,,,119,,,,,,,,,,,,,783,,,,,,,,,,,,181,,,,,,,,,,,,338,,,,,,,,,,,,185,,,,,,,,,,,,306,,,,,,,,,,,,526,,,,,,,,,,,,1064,,,,,,,,,,,,214,,,,,,,,,,,,161,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,80,,,
12/17/2023,ALVARO ANTONIO SANCHEZ,Santander,Bucaramanga,Bucaramanga,Construcción,5,Cliente 17,8,82,,,,,,,,,,,,,,,,,,,,,,,1484,,,,,,,,,,,,,,,,,,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,ALVARO ENRIQUE RODRIGUEZ SAMACA,"Bogotá, Distrito Capital",Bogotá,Sumapaz,Educación y salud,4,Cliente 18,7,91,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2023,ALVARO POSIDIO SEPULVEDA,Nariño,Pasto,Pasto,Pesca y agricultura,6,Cliente 19,9,,,,,,235,,,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,708,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,794,,,,,,,,,,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,
1/6/2023,AMANDA VILLA MENDOZA,"Bogotá, Distrito Capital",Bogotá,Fontibón,Educación y salud,8,Cliente 20,11,,,106,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
3/18/2023,AMELIA BAEZ SEGURA,Boyacá,Tunja,Tunja,Capacitación formal,10,Cliente 21,13,,,,,,183,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,531,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,489,,,,,,,,,,,,,,404,,,,,,,,,,,,,,757,,,,,,,,,,,,,,413,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,315,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,987,,,,,,,,,
12/26/2023,AMPARO CHAVEZ MUÑOZ,"Bogotá, Distrito Capital",Bogotá,Teusaquillo,Educación y salud,9,Cliente 22,12,,,,,,191,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,1055,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,992,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,598,,,,,,,,,,,,,,,1025,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,978,,,,,,,,,
2/28/2023,ANA CRISTINA GONZALEZ FONSECA,Antioquia,Medellín,Medellín,Investigación médica y tecnologías en salud,11,Cliente 23,14,,,,,,,,,,176,,,,,,,,,,,,,999,,,,,,,,,,,,,,974,,,,,,,,,,,,,304,,,,,,,,,,,,,312,,,,,,,,,,,,,,456,,,,,,,,,,,,,452,,,,,,,,,,,,,,299,,,,,,,,,,,,,313,,,,,,,,,,,,,90,,,,,,,,,,,,,173,,,,,,,,,,,,,247,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,179,,,
2/6/2023,ANA LUCIA ALVARADO TORRES,Atlántico,Barranquilla,Barranquilla,Investigación médica y tecnologías en salud,7,Cliente 24,10,,,131,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,,,,,,587,,,,,,,,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,762,,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,,,,,,,,578,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,
11/3/2023,ANA MILENA PAEZ GUTIERREZ,Norte de Santander,Cúcuta,Cúcuta,"Cultura, ocio y entretenimiento",10,Cliente 25,13,101,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,289,,,,,,,,,,,,,,1499,,,,,,,,,,,,,,217,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,514,,,,,,,,,,,,,,524,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,
8/13/2023,ANDREA XIMENA VARGAS LLANOS,"Bogotá, Distrito Capital",Bogotá,San Cristóbal,Transporte y logística,10,Cliente 26,13,,,,227,,,,,,,,,,,,,,756,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,508,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,583,,,,,,,,,,,,,,441,,,,,,,,,,,,,,313,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,744,,,,,,,,,,,,,,70,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,1061,,,,,,,,,,,
10/14/2023,ANDRES FELIPE ARIAS TAMAYO,Tolima,Ibagué,Ibagué,Capacitación formal,6,Cliente 27,9,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,434,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,717,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,954,,,,,,,,,,,
3/14/2023,ANDRES PUERTO FLOREZ,Quindío,Armenia,Armenia,Agricultura,7,Cliente 28,10,,,,,,,,,465,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,554,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,1524,,,,,,,,,,
3/28/2023,ANGELA MARIA SOLER MORENO,"Bogotá, Distrito Capital",Bogotá,Antonio Nariño,Ganadería,10,Cliente 29,13,,,,222,,,,,,,,,,,,,,775,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,570,,,,,,,,,,,,,,539,,,,,,,,,,,,,,342,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,775,,,,,,,,,,,,,,66,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,1006,,,,,,,,,,,
1/27/2023,ANGELA PAOLA ANTONIO SALINAS,Risaralda,Pereira,Pereira,Servicios financieros,5,Cliente 30,8,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,764,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,98,,,
5/16/2023,ANGELA PATRICIA MEDINA GUTIERREZ,Risaralda,Pereira,Pereira,Energía,3,Cliente 31,6,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,ANTONIO JOSE MARTINEZ NIETO,"Bogotá, Distrito Capital",Bogotá,Chapinero,Energía,7,Cliente 32,10,135,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,966,,,,,,,,,,,,,,,,,,991,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,2073,,,,,,,,,,,,,,,,,,
1/15/2023,APS INGENIERIA S A S,Antioquia,Medellín,Medellín,Transporte y logística,5,Cliente 33,8,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,,,,,,,,,,,,,,,,,,,786,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,
10/27/2023,AQUABIOSFERA SAS BIC,Quindío,Armenia,Armenia,TIC,4,Cliente 34,7,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,986,,,,,,,,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2023,ARCETEC SOLUCIONES TECNOLOGICAS SAS,"Bogotá, Distrito Capital",Bogotá,Barrios Unidos,Educación y salud,7,Cliente 35,10,,,,,,186,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,743,,,,,,,,,,,,,,,,,,1410,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,
12/19/2023,ARMIDA DEL CARMEN SIERRA MORENO,Norte de Santander,Cúcuta,Cúcuta,Investigación médica y tecnologías en salud,6,Cliente 36,9,,,,,,,132,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,,,,,,,,,,,529,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,
6/14/2023,ASSA ABLOY COLOMBIA SAS,"Bogotá, Distrito Capital",Bogotá,Teusaquillo,Comercio,11,Cliente 37,14,,,,,,,,,,,584,,,,,,,,,,,,,1406,,,,,,,,,,,,,,163,,,,,,,,,,,,,536,,,,,,,,,,,,,311,,,,,,,,,,,,,,440,,,,,,,,,,,,,347,,,,,,,,,,,,,,501,,,,,,,,,,,,,186,,,,,,,,,,,,,1061,,,,,,,,,,,,,415,,,,,,,,,,,,,180,,,,,,,,,,,,,53,,,,,,,,,,,,,,,339,,
6/20/2023,"AVALUOS NACIONALES S.A.S ""AVALES""",Huila,Neiva,Neiva,Educación y salud,10,Cliente 38,13,,103,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,752,,,,,,,,,,,,,,416,,,,,,,,,,,,,,239,,,,,,,,,,,,,,314,,,,,,,,,,,,,,577,,,,,,,,,,,,,,,1054,,,,,,,,,,,,,,342,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,506,,,,,,,,,,,,,
1/18/2023,AVINUTRIR S A S,Magdalena,Santa Marta,Santa Marta,Energía,4,Cliente 39,7,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,1008,,,,,,,,,,,
10/11/2023,AZUL K S.A.S.,Valle del Cauca,Cali,Cali,Ganadería,8,Cliente 40,11,,,,,,190,,,,,,,,,,,,,,,,,1080,,,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,957,,,,,,,,,,,
7/13/2023,BANCO FINANDINA S.A. BIC,Valle del Cauca,Cali,Cali,Agricultura,4,Cliente 41,7,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,1046,,,,,,,,,
5/26/2023,BEATRIZ ADELA CAMPOS CHAPARRO,"Bogotá, Distrito Capital",Bogotá,Chapinero,TIC,10,Cliente 42,13,93,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,746,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,349,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,184,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,543,,,,,,,,,,,,,,418,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
